pair,genename,zscore
V$CMYB_01 - V$NFKAPPAB65_01,COL1A1,3.36548051102031
V$CMYB_01 - V$GRE_C,COL1A1,3.11564482236122
V$ELK1_02 - V$NFAT_Q4_01,COL1A1,3.10752811365591
V$CETS1P54_01 - V$GR_Q6_01,COL1A1,3.23541532002569
V$CETS1P54_01 - V$ETS_Q6,COL1A1,3.19000708307989
V$CP2_01 - V$PAX5_01,COL1A1,4.86567021127622
V$AP1_Q2 - V$CEBPB_02,COL1A1,3.21257969585911
V$AP1FJ_Q2 - V$CEBP_Q3,COL1A1,3.22687561233015
V$ER_Q6 - V$HNF3_Q6,COL1A1,3.39064230761157
V$GR_Q6 - V$MAF_Q6_01,COL1A1,3.19202842361979
V$ETS_Q4 - V$NF1_Q6,COL1A1,3.01724346837015
V$NFAT_Q4_01 - V$NFKB_Q6,COL1A1,3.53426326930454
V$HMGIY_Q6 - V$NFAT_Q6,COL1A1,3.55186833373903
V$ETS_Q4 - V$NFAT_Q6,COL1A1,3.10769321803165
V$MYCMAX_B - V$PR_Q2,COL1A1,3.19886596911791
V$ETS1_B - V$HNF4_Q6,COL1A1,3.28444808295953
V$CEBP_Q3 - V$PU1_Q6,COL1A1,3.58410923918341
V$NFKB_Q6_01 - V$PU1_Q6,COL1A1,3.70040312631601
V$PU1_Q6 - V$SREBP_Q3,COL1A1,3.84222321517638
V$PEBP_Q6 - V$PU1_Q6,COL1A1,3.05300061076368
V$HNF4_Q6 - V$SF1_Q6,COL1A1,3.34115021225267
V$E2A_Q2 - V$OSF2_Q6,COL1A1,3.29851066262805
V$GR_Q6_01 - V$SMAD4_Q6,COL1A1,3.45094768716958
V$ETS_Q4 - V$HMGIY_Q6,COL1A1,3.22626565920396
V$HMGIY_Q6 - V$NFAT_Q4_01,COL1A1,4.54057816924737
V$CEBP_Q3 - V$ETS_Q6,COL1A1,4.77797792947673
V$ETS_Q4 - V$PR_Q2,COL1A1,3.63016603345703
V$MYB_Q5_01 - V$NFKB_Q6_01,COL1A1,3.51887036969491
V$DR3_Q4 - V$NF1_Q6_01,COL1A1,3.14902201576279
V$MYB_Q5_01 - V$PEBP_Q6,COL1A1,3.01936837258652
V$ETS_Q6 - V$GR_Q6_01,COL1A1,3.40142971248225
V$GR_Q6_01 - V$MAF_Q6_01,COL1A1,3.40051083474294
V$AP1_Q2_01 - V$DR4_Q2,COL1A1,3.14674003531985
V$AHRHIF_Q6 - V$AP1_Q2_01,COL1A1,3.09221648374421
V$CMYB_01 - V$CP2_02,COL5A1,4.06479382979341
V$CETS1P54_01 - V$ETS_Q6,COL5A1,3.24809495626039
V$CP2_01 - V$GR_Q6,COL5A1,3.59145728184467
V$CP2_01 - V$GRE_C,COL5A1,4.23444281350412
V$CP2_01 - V$DR1_Q3,COL5A1,3.02630567300791
V$CP2_01 - V$ETS_Q4,COL5A1,3.83014141233481
V$CP2_01 - V$DR3_Q4,COL5A1,3.34282534248606
V$EBF_Q6 - V$ER_Q6,COL5A1,3.09213234053873
V$NF1_Q6 - V$NFAT_Q6,COL5A1,3.17925811620381
V$CEBP_Q3 - V$NFKB_Q6,COL5A1,4.31678471385755
V$NF1_Q6_01 - V$NFAT_Q6,COL5A1,3.26739265484537
V$ETS_Q4 - V$MYCMAX_B,COL5A1,4.86781597355201
V$E2F_Q3_01 - V$MYCMAX_B,COL5A1,3.18055829167479
V$ETS_Q6 - V$MYCMAX_B,COL5A1,3.27012854815232
V$NFAT_Q4_01 - V$SF1_Q6,COL5A1,3.82965299834726
V$HNF4_Q6 - V$SF1_Q6,COL5A1,3.07541362678616
V$ETS_Q6 - V$SF1_Q6,COL5A1,3.91522988720202
V$NF1_Q6_01 - V$OSF2_Q6,COL5A1,3.68351710474412
V$CEBP_Q3 - V$DR1_Q3,COL5A1,3.32471060788572
V$DR1_Q3 - V$MAF_Q6_01,COL5A1,3.64851520250782
V$CP2_02 - V$E2F_Q3_01,COL5A1,3.22507843364116
V$DR3_Q4 - V$MYOD_Q6_01,COL5A1,3.32263320308608
V$CP2_02 - V$HNF4_Q6,COL5A1,3.01009213570151
V$CP2_02 - V$SMAD_Q6_01,COL5A1,3.78254573075606
V$CMYB_01 - V$MYCMAX_B,KRT9,4.30900696862474
V$EBF_Q6 - V$ELK1_02,KRT9,3.00254682599083
V$CETS1P54_01 - V$EBF_Q6,KRT9,3.21829633088706
V$CP2_01 - V$ETS1_B,KRT9,3.53585743500866
V$CP2_01 - V$NF1_Q6_01,KRT9,4.98566019854191
V$CEBPA_01 - V$GR_Q6_01,KRT9,3.03744671536554
V$PAX5_01 - V$SMAD3_Q6,KRT9,3.00154618288249
V$COUP_01 - V$DR4_Q2,KRT9,3.46105600636395
V$AP1FJ_Q2 - V$DR4_Q2,KRT9,3.54094733642114
V$AP1FJ_Q2 - V$HNF4_Q6,KRT9,3.79020126667138
V$AP1FJ_Q2 - V$PEBP_Q6,KRT9,3.50575022137316
V$ER_Q6 - V$ETS1_B,KRT9,3.24963768138238
V$NFKB_Q6 - V$PR_Q2,KRT9,3.58577607928481
V$ETS_Q6 - V$PU1_Q6,KRT9,3.44647992833341
V$PR_Q2 - V$SF1_Q6,KRT9,4.2943696424605
V$EBF_Q6 - V$ELF1_Q6,KRT9,3.58355706954889
V$AML_Q6 - V$CEBP_Q2_01,KRT9,3.09273239905761
V$CEBP_Q2_01 - V$PEBP_Q6,KRT9,3.513979450324
V$AHRHIF_Q6 - V$MYOD_Q6_01,KRT9,3.26590590384907
V$CEBP_C - V$CMYB_01,KRT17,3.42640750757692
V$CETS1P54_01 - V$NFKB_Q6,KRT17,3.50071583663179
V$CETS1P54_01 - V$MYCMAX_B,KRT17,3.86234728448155
V$CETS1P54_01 - V$CREB_Q3,KRT17,4.35364772077741
V$CETS1P54_01 - V$GR_Q6_01,KRT17,3.01990856257119
V$CETS1P54_01 - V$ETS_Q6,KRT17,5.55476272302873
V$NFKAPPAB_01 - V$NFY_01,KRT17,4.18444554960306
V$CP2_01 - V$PIT1_Q6,KRT17,3.01618914168786
V$CP2_01 - V$SMAD_Q6_01,KRT17,4.10303433634229
V$ETS_Q4 - V$NFKB_Q6,KRT17,3.54302584848202
V$CREB_Q3 - V$NFKB_Q6,KRT17,4.10224381370008
V$ETS_Q6 - V$NFKB_Q6,KRT17,3.17392882553016
V$HNF1_Q6 - V$NFKB_C,KRT17,3.48937164574915
V$ETS_Q6 - V$MYCMAX_B,KRT17,3.46241633580708
V$MYCMAX_B - V$PEBP_Q6,KRT17,3.93718156806123
V$HIF1_Q5 - V$OSF2_Q6,KRT17,3.54811890480051
V$EFC_Q6 - V$EGR_Q6,KRT17,3.15372787190729
V$ETS_Q6 - V$PU1_Q6,KRT17,4.31056277621449
V$MAF_Q6_01 - V$PU1_Q6,KRT17,4.5502623639039
V$SF1_Q6 - V$SMAD_Q6_01,KRT17,3.22481013880013
V$HIF1_Q3 - V$OSF2_Q6,KRT17,3.25355818940402
V$AML_Q6 - V$CETS168_Q6,KRT17,3.28032883594035
V$MAF_Q6_01 - V$MYB_Q5_01,KRT17,3.42774323561353
V$GR_Q6_01 - V$PR_Q2,KRT17,5.12654067122316
V$GR_Q6_01 - V$MAF_Q6_01,KRT17,3.56592434759653
V$CP2_02 - V$LEF1TCF1_Q4,KRT17,3.18059648169514
V$HNF4_Q6 - V$PEBP_Q6,KRT17,3.22916747609676
V$ETS_Q6 - V$MAF_Q6_01,KRT17,4.22169049747065
V$AHRHIF_Q6 - V$SMAD_Q6_01,KRT17,4.36232053308924
V$AHRHIF_Q6 - V$PEBP_Q6,KRT17,3.40835656930266
V$CMYB_01 - V$VMYB_01,KRT5,3.21542721296862
V$CMYB_01 - V$MYB_Q3,KRT5,3.43314666467154
V$CEBPB_01 - V$HMGIY_Q6,KRT5,3.80538076323775
V$AP1_Q6 - V$ETS1_B,KRT5,4.15424769101728
V$AP1_C - V$ETS1_B,KRT5,4.65020541638705
V$ER_Q6_02 - V$ETS1_B,KRT5,3.53379119633569
V$HNF3_Q6 - V$STAT5B_01,KRT5,3.03785217287897
V$CREB_Q4_01 - V$EFC_Q6,KRT5,3.1354484401192
V$HNF3_Q6 - V$PU1_Q6,KRT5,3.17505609574905
V$AP1_Q4_01 - V$PU1_Q6,KRT5,3.37725057525341
V$AP1_Q2_01 - V$SF1_Q6,KRT5,3.25102335119362
V$ETS_Q6 - V$SF1_Q6,KRT5,4.01569097701952
V$AP1_Q2_01 - V$ELF1_Q6,KRT5,3.03089282300996
V$CEBP_Q2_01 - V$HMGIY_Q6,KRT5,3.62874722316052
V$CREB_Q3 - V$SP1_Q2_01,KRT5,3.36577449962358
V$LEF1_Q2 - V$PEBP_Q6,KRT5,3.18933486847286
V$GR_Q6_01 - V$SP1_Q2_01,KRT5,3.11829169737291
V$ER_Q6_02 - V$PEBP_Q6,KRT5,3.39142397624668
V$AHRHIF_Q6 - V$E2A_Q6,KRT5,3.34764376882367
V$CMYB_01 - V$CREB_Q3,PAFAH1B1,3.7215374714096
V$AP1_Q2 - V$CETS1P54_01,PAFAH1B1,3.02894268148761
