PWM1,PWM2,pair,knownCompelPair,knownBioGridPair
V$CMYB_01,V$NFKAPPAB65_01,V$CMYB_01 - V$NFKAPPAB65_01,FALSE,FALSE
V$CMYB_01,V$GRE_C,V$CMYB_01 - V$GRE_C,FALSE,FALSE
V$ELK1_02,V$NFAT_Q4_01,V$ELK1_02 - V$NFAT_Q4_01,FALSE,FALSE
V$CETS1P54_01,V$GR_Q6_01,V$CETS1P54_01 - V$GR_Q6_01,TRUE,FALSE
V$CETS1P54_01,V$ETS_Q6,V$CETS1P54_01 - V$ETS_Q6,TRUE,TRUE
V$CP2_01,V$PAX5_01,V$CP2_01 - V$PAX5_01,FALSE,FALSE
V$AP1_Q2,V$CEBPB_02,V$AP1_Q2 - V$CEBPB_02,TRUE,FALSE
V$AP1FJ_Q2,V$CEBP_Q3,V$AP1FJ_Q2 - V$CEBP_Q3,TRUE,TRUE
V$ER_Q6,V$HNF3_Q6,V$ER_Q6 - V$HNF3_Q6,FALSE,FALSE
V$GR_Q6,V$MAF_Q6_01,V$GR_Q6 - V$MAF_Q6_01,FALSE,TRUE
V$ETS_Q4,V$NF1_Q6,V$ETS_Q4 - V$NF1_Q6,FALSE,FALSE
V$NFAT_Q4_01,V$NFKB_Q6,V$NFAT_Q4_01 - V$NFKB_Q6,TRUE,FALSE
V$HMGIY_Q6,V$NFAT_Q6,V$HMGIY_Q6 - V$NFAT_Q6,FALSE,FALSE
V$ETS_Q4,V$NFAT_Q6,V$ETS_Q4 - V$NFAT_Q6,FALSE,FALSE
V$MYCMAX_B,V$PR_Q2,V$MYCMAX_B - V$PR_Q2,FALSE,FALSE
V$ETS1_B,V$HNF4_Q6,V$ETS1_B - V$HNF4_Q6,FALSE,FALSE
V$CEBP_Q3,V$PU1_Q6,V$CEBP_Q3 - V$PU1_Q6,TRUE,TRUE
V$NFKB_Q6_01,V$PU1_Q6,V$NFKB_Q6_01 - V$PU1_Q6,TRUE,FALSE
V$PU1_Q6,V$SREBP_Q3,V$PU1_Q6 - V$SREBP_Q3,FALSE,FALSE
V$PEBP_Q6,V$PU1_Q6,V$PEBP_Q6 - V$PU1_Q6,FALSE,FALSE
V$HNF4_Q6,V$SF1_Q6,V$HNF4_Q6 - V$SF1_Q6,FALSE,FALSE
V$E2A_Q2,V$OSF2_Q6,V$E2A_Q2 - V$OSF2_Q6,FALSE,FALSE
V$GR_Q6_01,V$SMAD4_Q6,V$GR_Q6_01 - V$SMAD4_Q6,FALSE,FALSE
V$ETS_Q4,V$HMGIY_Q6,V$ETS_Q4 - V$HMGIY_Q6,FALSE,TRUE
V$HMGIY_Q6,V$NFAT_Q4_01,V$HMGIY_Q6 - V$NFAT_Q4_01,FALSE,FALSE
V$CEBP_Q3,V$ETS_Q6,V$CEBP_Q3 - V$ETS_Q6,TRUE,FALSE
V$ETS_Q4,V$PR_Q2,V$ETS_Q4 - V$PR_Q2,TRUE,TRUE
V$MYB_Q5_01,V$NFKB_Q6_01,V$MYB_Q5_01 - V$NFKB_Q6_01,FALSE,FALSE
V$DR3_Q4,V$NF1_Q6_01,V$DR3_Q4 - V$NF1_Q6_01,FALSE,FALSE
V$MYB_Q5_01,V$PEBP_Q6,V$MYB_Q5_01 - V$PEBP_Q6,FALSE,FALSE
V$ETS_Q6,V$GR_Q6_01,V$ETS_Q6 - V$GR_Q6_01,TRUE,TRUE
V$GR_Q6_01,V$MAF_Q6_01,V$GR_Q6_01 - V$MAF_Q6_01,FALSE,TRUE
V$AP1_Q2_01,V$DR4_Q2,V$AP1_Q2_01 - V$DR4_Q2,FALSE,FALSE
V$AHRHIF_Q6,V$AP1_Q2_01,V$AHRHIF_Q6 - V$AP1_Q2_01,FALSE,TRUE
V$CMYB_01,V$CP2_02,V$CMYB_01 - V$CP2_02,FALSE,FALSE
V$CP2_01,V$GR_Q6,V$CP2_01 - V$GR_Q6,FALSE,FALSE
V$CP2_01,V$GRE_C,V$CP2_01 - V$GRE_C,FALSE,FALSE
V$CP2_01,V$DR1_Q3,V$CP2_01 - V$DR1_Q3,FALSE,FALSE
V$CP2_01,V$ETS_Q4,V$CP2_01 - V$ETS_Q4,FALSE,FALSE
V$CP2_01,V$DR3_Q4,V$CP2_01 - V$DR3_Q4,FALSE,FALSE
V$EBF_Q6,V$ER_Q6,V$EBF_Q6 - V$ER_Q6,FALSE,FALSE
V$NF1_Q6,V$NFAT_Q6,V$NF1_Q6 - V$NFAT_Q6,FALSE,FALSE
V$CEBP_Q3,V$NFKB_Q6,V$CEBP_Q3 - V$NFKB_Q6,TRUE,TRUE
V$NF1_Q6_01,V$NFAT_Q6,V$NF1_Q6_01 - V$NFAT_Q6,FALSE,FALSE
V$ETS_Q4,V$MYCMAX_B,V$ETS_Q4 - V$MYCMAX_B,FALSE,FALSE
V$E2F_Q3_01,V$MYCMAX_B,V$E2F_Q3_01 - V$MYCMAX_B,TRUE,FALSE
V$ETS_Q6,V$MYCMAX_B,V$ETS_Q6 - V$MYCMAX_B,FALSE,FALSE
V$NFAT_Q4_01,V$SF1_Q6,V$NFAT_Q4_01 - V$SF1_Q6,FALSE,FALSE
V$ETS_Q6,V$SF1_Q6,V$ETS_Q6 - V$SF1_Q6,FALSE,FALSE
V$NF1_Q6_01,V$OSF2_Q6,V$NF1_Q6_01 - V$OSF2_Q6,FALSE,FALSE
V$CEBP_Q3,V$DR1_Q3,V$CEBP_Q3 - V$DR1_Q3,FALSE,FALSE
V$DR1_Q3,V$MAF_Q6_01,V$DR1_Q3 - V$MAF_Q6_01,FALSE,FALSE
V$CP2_02,V$E2F_Q3_01,V$CP2_02 - V$E2F_Q3_01,FALSE,FALSE
V$DR3_Q4,V$MYOD_Q6_01,V$DR3_Q4 - V$MYOD_Q6_01,FALSE,TRUE
V$CP2_02,V$HNF4_Q6,V$CP2_02 - V$HNF4_Q6,FALSE,FALSE
V$CP2_02,V$SMAD_Q6_01,V$CP2_02 - V$SMAD_Q6_01,FALSE,FALSE
V$CMYB_01,V$MYCMAX_B,V$CMYB_01 - V$MYCMAX_B,FALSE,FALSE
V$EBF_Q6,V$ELK1_02,V$EBF_Q6 - V$ELK1_02,FALSE,FALSE
