pair,enhancer_id,zscore
V$IRF_Q6_01 - V$VMYB_01,chr10:106096287-106096870-enhancer,3.43995510690976
V$CMYB_01 - V$NFKAPPAB65_01,chr10:106096287-106096870-enhancer,3.88204324538827
V$CMYB_01 - V$CREL_01,chr10:106096287-106096870-enhancer,4.85234832733834
V$ELK1_02 - V$NFY_01,chr10:106096287-106096870-enhancer,3.39730721155959
V$CETS1P54_01 - V$DR1_Q3,chr10:106096287-106096870-enhancer,3.7082660363097
V$NFKAPPAB65_01 - V$NFY_Q6_01,chr10:106096287-106096870-enhancer,3.67862034311634
V$CEBPB_01 - V$IPF1_Q4,chr10:106096287-106096870-enhancer,4.01459078411629
V$CEBPB_01 - V$CEBP_Q2_01,chr10:106096287-106096870-enhancer,3.01502956088248
V$GR_Q6_01 - V$OCT1_04,chr10:106096287-106096870-enhancer,3.53407424586021
V$AP1FJ_Q2 - V$ETS1_B,chr10:106096287-106096870-enhancer,3.57058262407906
V$AP1FJ_Q2 - V$CEBP_Q2_01,chr10:106096287-106096870-enhancer,3.35736645921214
V$AP1_Q2 - V$ETS1_B,chr10:106096287-106096870-enhancer,3.15139724437831
V$AP1_Q2 - V$SF1_Q6,chr10:106096287-106096870-enhancer,3.27346415599939
V$NF1_Q6 - V$STAT6_01,chr10:106096287-106096870-enhancer,3.10925354027664
V$ELF1_Q6 - V$NF1_Q6,chr10:106096287-106096870-enhancer,4.02332201271703
V$NF1_Q6 - V$NFKB_Q6_01,chr10:106096287-106096870-enhancer,3.36845160460083
V$NFKB_Q6 - V$SP1_Q6_01,chr10:106096287-106096870-enhancer,3.38905317332046
V$SP1_Q6 - V$SP1_Q6_01,chr10:106096287-106096870-enhancer,3.55969256663276
V$SP1_Q2_01 - V$SP1_Q6,chr10:106096287-106096870-enhancer,4.1499477387193
V$NFAT_Q6 - V$NFY_C,chr10:106096287-106096870-enhancer,3.02152331846071
V$IPF1_Q4 - V$NFAT_Q6,chr10:106096287-106096870-enhancer,3.78748329943243
V$NFAT_Q6 - V$STAT_Q6,chr10:106096287-106096870-enhancer,3.01359389546359
V$AP1_Q2_01 - V$ETS1_B,chr10:106096287-106096870-enhancer,4.05660294114791
V$ETS1_B - V$PR_Q2,chr10:106096287-106096870-enhancer,3.18428879359733
V$ICSBP_Q6 - V$IPF1_Q4,chr10:106096287-106096870-enhancer,3.03634048840119
V$IPF1_Q4 - V$NFAT_Q4_01,chr10:106096287-106096870-enhancer,3.4703802280257
V$IPF1_Q4 - V$IRF_Q6_01,chr10:106096287-106096870-enhancer,4.23960586123194
V$ETS_Q4 - V$STAT6_01,chr10:106096287-106096870-enhancer,3.33551097653764
V$CETS168_Q6 - V$DR1_Q3,chr10:106096287-106096870-enhancer,3.23417038302944
V$ELF1_Q6 - V$NF1_Q6_01,chr10:106096287-106096870-enhancer,4.25491674109102
V$LEF1_Q2 - V$MYB_Q3,chr10:106096287-106096870-enhancer,3.36560102182195
V$PIT1_Q6 - V$SMAD_Q6_01,chr10:106096287-106096870-enhancer,3.82798801924185
V$EGR_Q6 - V$SP1_Q6_01,chr10:106096287-106096870-enhancer,3.27062835121425
V$EGR_Q6 - V$SP1_Q2_01,chr10:106096287-106096870-enhancer,3.90415829866015
V$SP1_Q4_01 - V$SP1_Q6_01,chr10:106096287-106096870-enhancer,3.36825524333762
V$SP1_Q2_01 - V$SP1_Q6_01,chr10:106096287-106096870-enhancer,4.3503018961003
V$SP1_Q2_01 - V$SP1_Q4_01,chr10:106096287-106096870-enhancer,4.91669498929165
V$CP2_02 - V$LEF1TCF1_Q4,chr10:106096287-106096870-enhancer,3.76727992727449
V$CEBP_Q2 - V$CETS1P54_01,chr10:111834173-111834352-enhancer,3.38410203374262
V$CREL_01 - V$NFKAPPAB65_01,chr10:111834173-111834352-enhancer,3.17017473290314
